character,components,meaning,pinyin,tree,decomposition,story,appears_in,my_story,picture,frequency_rank,Hán Việt,Nghĩa
孜,"子, 攵","hard-working, industrious",zī,"孜
├── 子
└── ⺙",⿰子攵,,,,,3048,tư, 1. Tư tư 孜孜 chăm chăm (xa xả).<br>
嵌,"山, 甘, 欠","Inlay, set in, fall into, rugged","kǎn, qiàn","嵌
├── 山
└── 𣢟
    ├── 甘
    └── 欠",⿱山⿰甘欠,① man with open mouth 欠 singing in the sweet 甘 rugged mountains 山: he will soon fall into a trap,,,,3049,khảm, 1. Hõm vào. <br>2. Tả cái dáng núi sâu.<br>
臧,"爿, 戈, 臣","Good, right, generous, command","zāng, Zāng","臧
├── 37904
│   ├── 𤕫
│   │   ├── 爿
│   │   └── 厂
│   └── 戈
└── 臣",⿵⿰爿戈臣,① subject 臣 under good and generous protection of being killed 戕,,,,3050,tang," 1. Hay, tốt. <br>2. Tang hoạch 臧獲 tôi tớ. Tư Mã Thiên 司馬遷. Thả phù tang hoạch tì thiếp, do năng dẫn quyết, huống bộc chi bất đắc dĩ hồ 且夫臧獲婢妾，由能引決，況僕之不得已乎！ bọn tôi tớ tì thiếp còn biết giữ tiết, tự quyết được, huống hồ kẻ hèn này lại không hiểu cái lẽ có khi bất đắc dĩ phải chết sao ?<br>"
毓,"丿, 一, 母, 厶, 儿, 丨","(archaic) to give birth to a child, to rear",yù,"毓
├── 每
│   ├── 𠂉
│   │   ├── 丿
│   │   └── 一
│   └── 母
└── 㐬
    ├── 48108
    │   ├── 亠
    │   └── 厶
    └── 37110
        ├── 儿
        └── 丨",⿰⿱⿰丿一母⿱⿻一厶⿴儿丨,,,,,3051,dục," 1. Sinh, nuôi, cùng một nghĩa với chữ dục 育.<br>"
澜,"氵, 门, 柬",swelling water,lán,"澜
├── 氵
└── 阑
    ├── 门
    └── 柬
        ├── 木
        └── 64052
            ├── 90012
            │   ├── 口
            │   └── 丨
            └── 丷",⿰氵⿵门柬,,,,,3052,lan, 1. Sóng cả. <br>2. Nước gạo.<br>
钮,"钅, 刀, 二","button, surname Niu","niǔ, Niǔ","钮
├── 钅
└── 丑
    ├── 刀
    └── 二",⿰钅⿻刀二,,,,,3053,nữu, 1. Cái chỗ để cột dây. <br>2. Cái cúc áo. Phàm vật gì nhân móc lại mới chặt đều gọi là nữu.<br>
揽,"扌, 〢, 丿, 一, 丶, 见","to monopolize, to seize, to take into one's arms, to embrace, to fasten (with a rope etc), to take on (responsibility etc), to canvass",lǎn,"揽
├── 扌
└── 览
    ├── 37223
    │   ├── 37255
    │   │   ├── 丨
    │   │   └── 丨
    │   └── 99791
    │       ├── 𠂉
    │       │   ├── 丿
    │       │   └── 一
    │       └── 丶
    └── 见",⿰扌⿱⿰〢⿱⿰丿一丶见,,,,,3054,lãm," 1. Nắm cả. Như lãm quyền 攬權 nắm cả quyền vào một tay. <br>2. Nhận thầu. Như thừa lãm 承攬 nhận trông coi làm tất cả mọi việc, cái giấy nhận lo liệu tất cả công trình hay nhận vận tải tất cả các hàng hóa đồ đạc cũng gọi là thừa lãm.<br>"
汀,"氵, 一, 亅","sandbar, shoal, sandbank",tīng,"汀
├── 氵
└── 丁
    ├── 一
    └── 亅",⿰氵⿱一亅,,,,,3055,đinh," 1. Bãi thấp, bãi sông. <br>2. Sông Ðinh.<br>"
倏,"亻, 丨, 夂, 犬","sudden, abrupt, Taiwan pr. [shu4], variant of 倏[shu1], variant of 倏[shu1]",shū,"倏
├── 39752
│   ├── 亻
│   └── 丨
└── 37582
    ├── ⺙
    └── 犬",⿰⿰亻丨⿱夂犬,,,,,3056,thúc," 1. Chợt. Như thúc hốt 倏忽 chớp nhoáng, nói trong thời gian biến đổi quá nhanh không liệu kịp.<br>"
帷,"巾, 隹","curtain, screen",wéi,"帷
├── 巾
└── 隹",⿰巾隹,,,,,3057,duy," 1. Cái màn che, dùng vải hay lụa khâu thành từng bức che cho kín bề trong gọi là duy. Không biết trị nhà gọi là duy bạc bất tu 帷薄不修 là bởi nghĩa đó.<br>"
绶,"纟, 爫, 冖, 又",cord on a seal,shòu,"绶
├── 纟
└── 受
    ├── 37333
    │   ├── 爫
    │   └── 冖
    └── 又",⿰纟⿱⿱爫冖又,,,,,3058,thụ, 1. Dây thao đỏ.<br>
坪,"土, 干, 丷","Level ground, japanese measure (36 sq ft)",píng,"坪
├── 土
└── 平
    ├── 干
    └── 丷",⿰土⿻干丷,① level 平 ground 土,,,,3059,bình, 1. Chỗ đất bằng phẳng. <br>2. Phép đo nước Nhật-bản cho 36 thước vuông bề mặt là một bình.<br>
骁,"一, 乚, 丿, 兀","good horse, valiant",xiāo,"骁
├── 马
└── 尧
    ├── 37427
    └── 兀",⿰⿹&CDP-8A77;一⿱⿻⿻一乚丿兀,,,,,3060,kiêu, 1. Mạnh khỏe nhanh nhẹn. Tướng mạnh gọi là kiêu tướng 驍將.<br>
绮,"纟, 大, 一, 亅, 口","beautiful, open-work silk",qǐ,"绮
├── 纟
└── 奇
    ├── 大
    └── 可
        ├── 丁
        │   ├── 一
        │   └── 亅
        └── 口",⿰纟⿱大⿹⿱一亅口,,,,,3061,khỉ|ỷ," 1. Các thứ the lụa có hoa bóng chằng chịt không dùng sợi thẳng, đều gọi là khỉ. <br>2. Xiên xẹo, lầm lẫn. Như khỉ đạo 綺道, khỉ mạch 綺陌 nói đường lối ngoắt ngoéo ra như vằn tơ xiên xẹo vậy. <br>3. Tươi đẹp. Như khỉ tình 綺情 cái tình nẫu nà, khỉ ngữ 綺語 lời nói thêu dệt, v.v. Ta quen đọc là chữ ỷ.<br>"
缀,"纟, 又","Compose, write, bind (books)","chuò, zhuì","缀
├── 纟
└── 叕
    └── 又",⿰纟⿱⿰又又⿰又又,① rs. primitive ideograph  -> 叕 and thread 糸,,,,3062,chuế|chuyết|xuyết," 1. Nối liền, khíu liền, khâu lại. <br>2. Một âm là chuyết. Ngăn cấm. <br>3. Bó buộc. Ta quen đọc là chữ xuyết.<br>"
缎,"纟, 𠘧, 又",satin,duàn,"缎
├── 纟
└── 段
    ├── 60782
    │   ├── 丨
    │   └── 99876
    │       └── 一
    └── 殳",⿰纟⿰&CDP-8CE4;⿱𠘧又,,,,,3063,đoạn," 1. Ðoạn. Có thứ đoạn hoa, có thứ đoạn trơn.<br>"
弩,"女, 又, 弓",crossbow,nǔ,"弩
├── 奴
│   ├── 女
│   └── 又
└── 弓",⿱⿰女又弓,,,,,3064,nỗ, 1. Cái nỏ.<br>
蹦,"口, 止, 山, 月","to jump, to bounce, to hop",bèng,"蹦
├── ⻊
└── 崩
    ├── 山
    └── 朋
        └── 月",⿰⿱口止⿱山⿰月月,,,,,3065,#N/A,#N/A
髦,"镸, 彡, 毛","bang (hair), fashionable, mane",máo,"髦
├── 髟
└── 毛",⿱⿰镸彡毛,,,,,3066,mao," 1. Cái cút. Trẻ con để mái tóc chấm lông mày gọi là mao. Vì thế nên học trò trẻ có tài gọi là mao sĩ 髦士, cũng gọi là thời mao 時髦 nghĩa là đang thì tuổi trẻ vậy. <br>2. Bờm ngựa. <br>3. Kén chọn. <br>4. Tài giỏi.<br>"
翟,"𠃌, 冫, 隹","A kind of pheasant, plumes","dí, Dí, Zhái","翟
├── 羽
└── 隹",⿱⿰⿹𠃌冫⿹𠃌冫隹,① bird 隹 with magnificent plumes 羽 ② con. magnificent,翌; 濯 躍 曜,,,3067,địch|trạch," 1. Lông trĩ, đuôi con trĩ ở núi dài và đẹp. Trong khi nhạc múa dùng cầm cho đẹp. <br>2. Cùng nghĩa với chữ địch 狄 giống rợ Ðịch. <br>3. Một âm là trạch. Họ Trạch.<br>"
俸,"亻, 𡗗, 二, 丨","Wages, salary, official emolument",fèng,"俸
├── 亻
└── 奉
    ├── 𡗗
    │   ├── 丰
    │   │   ├── 三
    │   │   │   ├── 一
    │   │   │   └── 二
    │   │   └── 丨
    │   └── 八
    └── 37024
        ├── 二
        └── 丨",⿰亻⿱𡗗⿻二丨,① respecting 奉 a man's 亻 work by paying him his salary,,,,3068,bổng, 1. Bổng lộc.<br>
瘢,"疒, 舟, 𠘧, 又","mark, scar on the skin",bān,"瘢
├── 疒
└── 般
    ├── 舟
    └── 殳",⿸疒⿰舟⿱𠘧又,,,,,3069,ban, 1. Sẹo.<br>
瞥,"丷, 巾, 八, 攵, 目","to shoot a glance, glance, to appear in a flash",piē,"瞥
├── 敝
│   ├── 㡀
│   │   ├── 巾
│   │   └── 37036
│   │       ├── 冫
│   │       └── 90011
│   │           └── 冫
│   └── ⺙
└── 目",⿱⿰⿻丷⿻巾八攵目,,,,,3070,miết, 1. Liếc qua.<br>
籓,"竹, 氵, 釆, 田",big winnow basket,fān,"籓
├── ⺮
└── 潘
    ├── 氵
    └── 番
        ├── 釆
        └── 田",⿱竹⿰氵⿱釆田,,,,,3071,#N/A,#N/A
痪,"疒, 𠂊, 冂, 大","illness, numbness of the limbs",huàn,"痪
├── 疒
└── 奂
    ├── ⺈
    └── 央
        ├── 大
        └── 冂",⿸疒⿳𠂊冂大,,,,,3072,hoán," 1. Than hoán 癱瘓 chân tay tê dại bất nhân (不仁, tê liệt).<br>"
嗜,"口, 耂, 匕, 日","Be fond of, have weakness for",shì,"嗜
├── 口
└── 耆
    ├── 老
    └── 日",⿰口⿱⿸耂匕日,① old men 老 are fond of talking 曰 with their mouth 口,,,,3073,thị, 1. Ham thích.<br>
屿,"山, 一",islet,yǔ,"屿
├── 山
└── 与
    ├── 37189
    │   └── 己
    └── 一",⿰山⿹&CDP-8BBF;一,,,,,3074,tự," 1. Cái đảo nhỏ, bãi bể nhỏ.<br>"
椋,"木, 亠, 口, 小","Fruit, type of deciduous tree, grey starling",liáng,"椋
├── 木
└── 京
    ├── 37045
    │   ├── 亠
    │   └── 口
    └── 小",⿰木⿳亠口小,① bird which likes trees 木 in the capital 京 and lives on fruit,,,,3075,#N/A,#N/A
帜,"巾, 口, 八",flag,zhì,"帜
├── 巾
└── 只
    ├── 口
    └── 八",⿰巾⿱口八,,,,,3076,xí, 1. Cờ hiệu.<br>
绒,"纟, 戈, 丿, 一","Silk, cotton, or woolen fabric",róng,"绒
├── 纟
└── 戎
    ├── 戈
    └── 𠂇
        └── 十",⿰纟⿹戈⿻丿一,① fabric made from thread 糸 for the standard of the warrior 戎 ② plant 艹 in the form of an ear 耳,,,,3077,nhung," 1. Nhung, một thứ dệt bằng lông giống thú vừa dày vừa ấm gọi là nhung. <br>2. Sợi tơ bông gọi là nhung tuyến 絨線.<br>"
汹,"氵, 凵, 㐅","torrential rush, tumultuous",xiōng,"汹
├── 氵
└── 凶
    ├── 凵
    └── 乂
        └── ㇒",⿰氵⿶凵㐅,,,,,3078,hung," 1. Hung dũng 洶湧 nước chảy ầm ầm, nước réo. Cũng viết là 洶涌.<br>"
乍,乍,"First time, for the first time, suddenly, unexpected",zhà,"乍
├── 37416
│   ├── 𠂉
│   │   ├── 丿
│   │   └── 一
│   └── 丨
└── 二",乍,① a person 𠂉 lifted 丨 in the air by two 二 others: if it happens for the first time it comes unexpected, 搾 作 詐 酢 昨,,,3080,sạ," 1. Chợt, thốt nhiên xảy ra gọi là sạ 乍. Như kim nhân sạ kiến nhụ tử 今人乍見孺子 nay người chợt thấy đứa bé.<br>"
祁,"礻, 阝","large, vast, surname Qi","qí, Qí","祁
├── 礻
└── 阝",⿰礻阝,,,,,3081,kì, 1. Thịnh lớn. Như kì hàn 祁寒 rét dữ.<br>
禾,⽲,"Grain still on stalk, rice plant, tree with 2 branches rad. 115",hé,禾,⽲,① rice stalk  → 禾; tree 木 with a second branch 一, 白 米; 菌; 2241-2278,,,3082,hòa," 1. Lúa, lúa chưa cắt rơm rạ đi gọi là hòa.<br>"
廓,"广, 亠, 口, 子, 阝","big, empty, open",kuò,"廓
├── 广
└── 郭
    ├── 享
    │   ├── 37045
    │   │   ├── 亠
    │   │   └── 口
    │   └── 子
    └── 阝",⿸广⿰⿳亠口子阝,,,,,3083,khuếch," 1. Lớn. Như độ lượng khôi khuếch 度量恢廓 độ lượng lớn lao. Làm việc không thiết thực gọi là khuếch lạc 廓落, với đời không hợp cũng gọi là khuếch lạc. <br>2. Mở. Như khuếch sung 廓充 mở rộng ra. Ðang nhỏ mà mở mang cho to lớn thêm gọi là khuếch sung. <br>3. Bỗng không.<br>"
僭,"亻, 旡, 日",(bound form) to overstep one's authority,jiàn,"僭
├── 亻
└── 朁
    ├── 兓
    │   └── 旡
    └── 日",⿰亻⿱⿰旡旡日,,,,,3084,tiếm," 1. Ðịnh lấn, kẻ dưới giả thác lấn ngôi người trên gọi là tiếm. Như tiếm thiết 僭窃, tiếm việt 僭越 , v.v.<br>"
皂,"白, ⼀, 乚","soap, black",zào,"皂
├── 白
└── 七
    ├── 乚
    └── 一",⿱白⿻⼀乚,,,,,3085,#N/A,#N/A
叟,"臼, 丨, 又",Old person,sǒu,"叟
├── 37689
│   ├── 臼
│   └── 丨
└── 又",⿱⿻臼丨又,① rs. one who needs to carry 又 a light 火 (→ 臼) in the house 冖 to see in the house: 𠬲 → 叟: old man,,,,3086,tẩu, 1. Ông già.<br>
哺,"口, 十, 月, 丶","Chew food, feed, nurse, chuckle","bǔ, bū, bù","哺
├── 口
└── 甫
    ├── 41053
    │   ├── 十
    │   └── 用
    └── 丶",⿰口⿺⿻十月丶,① food from the field 甫 for the mouth 口: being chewed by the nurse to feed,,,,3087,#N/A,#N/A
夭,"丿, 大","tender, gentle, to die prematurely, variant of 夭[yao1], to die young, to die prematurely, Taiwan pr. [yao3]",yāo,"夭
├── ㇒
└── 大",⿱丿大,,,,,3088,yêu|yểu," 1. Yêu yêu 夭夭 nét mặt vui vẻ ôn tồn. <br>2. Rờn rờn, nhan sắc mầu mỡ đáng yêu. <br>3. Tai vạ. <br>4. Một âm là yểu. Chết non.<br>"
烤,"火, 耂, 一, ㇉","Bake, roast, toast, cook",kǎo,"烤
├── 火
└── 考
    ├── 耂
    └── 丂
        ├── 一
        └── ㇉",⿰火⿸耂⿱一㇉,① investigate 考 the fire 火 in order to cook or roast,,,,3089,khảo," 1. Sấy, nướng.<br>"
蛛,"虫, 木, ㇒, 一",Spider,zhū,"蛛
├── 虫
└── 朱
    ├── 未
    │   ├── 木
    │   └── 一
    └── ㇒",⿰虫⿱木⿰㇒一,① insect 虫 living in trees 朱 catching flies,,,,3090,chu|thù, 1. Tri chu 蜘蛛 con nhện. Ta gọi là chữ thù.<br>
蕉,"艹, 隹, 灬","Banana, weed, dark, looking haggard,","jiāo, qiáo","蕉
├── 艹
└── 焦
    ├── 隹
    └── 灬",⿱艹⿱隹灬,① kind of plant 艹 which is also very tasty when roasted like a bird 焦 ② man climbs a ladder with 4 rungs 焦 to maintain his bananas 艹,,,,3091,tiêu, 1. Gai sống. <br>2. Cùng nghĩa với chữ tiêu 顦. <br>3. Ba tiêu 芭蕉 cây chuối. Có khi gọi là cam tiêu 甘蕉 hay hương tiêu 香蕉.<br>
挹,"扌, 口, 巴","to ladle out, to dip, to pour out",yì,"挹
├── 扌
└── 邑",⿰扌⿱口巴,,,,,3092,ấp," 1. Rót. Như áp bỉ chú thử 挹彼注此 rót cái này vào chút kia. <br>2. Lui, nén đi.<br>"
榴,"木, 刀, 田",pomegranate,liú,"榴
├── 木
└── 留
    ├── 卯
    │   └── 卩
    └── 田",⿰木⿱⿰&CDP-88EE;刀田,,,,,3093,#N/A,#N/A
驯,"一, 川","Tame, docile, obedient",xùn,"驯
├── 马
└── 川",⿰⿹&CDP-8A77;一川,① horse 馬 drinking from the river 川: tame,,,,3094,tuần," 1. Quen, lành. Ngựa tập đã thuần theo như ý người gọi là tuần. Nói rộng ra phàm vật gì dữ tợn mà rèn tập cho đều theo như ý mình đều gọi là tuần. <br>2. Hay. Văn chương hay gọi là nhã tuần 雅馴. <br>3. Dần dần, sự gì nó dần dần đến gọi là tuần chí 馴至.<br>"
峭,"山, ⺌, 月","high and steep, precipitous, severe or stern, variant of 峭[qiao4]",qiào,"峭
├── 山
└── 肖
    ├── ⺌
    └── 月",⿰山⿱⺌月,,,,,3095,tiễu," 1. Chót vót, chỗ núi cao chót vót chơm chởm gọi là tiễu bích 峭壁. <br>2. Tính nóng nẩy.<br>"
闵,"门, 文","old variant of 憫|悯[min3], surname Min","mǐn, Mǐn","闵
├── 门
└── 文",⿵门文,,,,,3096,mẫn," 1. Lo lắng, các sự ốm đau chết chóc đều gọi là mẫn. <br>2. Thương nhớ, cùng nghĩa với chữ mẫn 憫. <br>3. Gắng gỏi. <br>4. Họ Mẫn.<br>"
畿,"戈, 幺, 田","Imperial domain, area near capital",jī,"畿
├── 37757
│   ├── 𢆶
│   │   └── 幺
│   └── 戈
└── 田",⿹⿻戈⿰幺幺田,① how many 幾 fields 田 without men 人 are there in the imperial domain (usually located near the capital),,,,3097,kì," 1. Kinh kỳ 京畿 chốn kinh kì, chỗ vua thiên tử đóng. <br>2. Trong cửa. <br>3. Cái bực cửa.<br>"
琐,"王, ⺌, 贝","Fragments, trifling, petty, troublesome, jade chain",suǒ,"琐
├── 王
└── 37310
    ├── ⺌
    └── 贝",⿰王⿱⺌贝,① fragments 𧴪 of jade 玉 on a chain,,,,3098,tỏa," 1. Vụn vặt, mọn mạy, lẫn lộn. <br>2. Bỉ ổi, bỉ lậu. <br>3. Cùng nghĩa với chữ tỏa 鎖. <br>4. Tiếng ngọc kêu bé. <br>5. Chạm lọng. <br>6. Sổ chép.<br>"
伶,"亻, 人, 丶, 厶","Actor, lonely, solitary",líng,"伶
├── 亻
└── 令
    ├── 亽
    │   ├── 人
    │   └── 丶
    └── 龴
        └── 厶",⿰亻⿱⿱人丶厶,① person 亻 with complete command 令 of himself,,,,3099,linh," 1. Linh Luân 伶倫 tên một vị nhạc quan ngày xưa, vì thế nên gọi quan nhạc là linh quan 伶倌. <br>2. Ưu linh 優伶 phường chèo. <br>3. Lẻ. Như linh đinh cô khổ 伶仃孤苦 lênh đênh khổ sở. <br>4. Nhanh nhẹn. Như linh lị 伶俐 lanh lẹ.<br>"
慷,"忄, 广, 隶","Ardent, generous, magnanimous",kāng,"慷
├── 忄
└── 康
    ├── 广
    └── 隶",⿰忄⿸广隶,① a healthy 康 heart 忄is ardent and generous,,,,3100,khảng, 1. Khảng khái 慷慨 hăng hái (có ý khí hăng hái vì nghĩa). Tục bảo tiêu tiền không cò kè là khảng khái (hào hiệp).<br>
檐,"木, 𠂊, 厂, 儿, 言","eaves, ledge or brim, variant of 檐[yan2]",yán,"檐
├── 木
└── 詹
    ├── ⺈
    └── 38049
        ├── 厂
        └── 37349
            ├── 八
            └── 言",⿰木⿸⿱𠂊厂⿱儿言,,,,,3101,diêm|thiềm," 1. Mái tranh, giọt tranh. <br>2. Vành mũ, ta quen đọc là chữ thiềm.<br>"
靴,"革, 亻, 乚, 丿","Boots, shoes",xuē,"靴
├── 革
└── 化
    ├── 亻
    └── 匕",⿰革⿰亻⿻乚丿,① modelled 化 leather 革 worn by people 亻,"履; 沓,鞜: 踏",,,3102,ngoa, 1. Cũng như chữ ngoa 鞾.<br>
杉,"木, 彡","Various species of pine and fir, cedar",shān,"杉
├── 木
└── 彡",⿰木彡,① tree 木 without leaves but with something resembling 彡 ② kind of tree 木 good for carving 彡,,,,3103,sam," 1. Cây sam, là một thứ gỗ thông dùng rất nhiều việc.<br>"
惕,"忄, 日, 勹, 丿","fearful, respectful",tì,"惕
├── 忄
└── 易
    ├── 日
    └── 勿
        ├── 勹
        └── 37125
            └── ㇒",⿰忄⿱日⿹勹⿱丿丿,,,,,3104,dịch, 1. Kính sợ.<br>
辍,"车, 又","to stop (before completion), to cease, to suspend",chuò,"辍
├── 车
└── 叕
    └── 又",⿰车⿱⿰又又⿰又又,,,,,3105,xuyết|chuyết," 1. Thôi, nghỉ. Làm việc nửa chừng bỏ dở gọi là trung xuyết 中輟. Chính âm là chuyết.<br>"
睢,"目, 隹","to stare, surname Sui","suī, Suī","睢
├── 目
└── 隹",⿰目隹,,,,,3106,tuy|huy," 1. Tư tuy 恣睢 lườm hoài. <br>2. Sông Tuy. <br>3. Một âm là huy. Trợn mắt, ngước mắt.<br>"
琦,"王, 大, 一, 亅, 口","curio, valuable stone",qí,"琦
├── 王
└── 奇
    ├── 大
    └── 可
        ├── 丁
        │   ├── 一
        │   └── 亅
        └── 口",⿰王⿱大⿹⿱一亅口,,,,,3107,kỳ," 1. Ngọc đáng quý. <br>2. Khác phàm, kỳ lạ.<br>"
炕,"火, 亠, 几","old variant of 炕[kang4], kang (a heatable brick bed), to bake, to dry by the heat of a fire",kàng,"炕
├── 火
└── 亢
    ├── 亠
    └── 几",⿰火⿱亠几,,,,,3108,kháng," 1. Khô ráo, nướng, sấy. <br>2. Cùng nghĩa với chữ kháng 匟, về phương bắc khí hậu rét lắm, phải xây bục ở trên, trong bục có đốt lửa cho ấm mà ngủ gọi là kháng. <br>3. Hé ra, mở ra.<br>"
侈,"亻, 夕","extravagant, wasteful, exaggerating",chǐ,"侈
├── 亻
└── 多
    └── 夕",⿰亻⿱夕夕,,,,,3109,xỉ, 1. Phí. Như xa xỉ 奢侈 xa phí.<br>
飨,"乡, 食","(literary) to offer food and drinks, to entertain",xiǎng,"飨
├── 乡
│   ├── 99836
│   │   └── ㇛
│   └── 丿
└── 食",⿰乡食,,,,,3110,hưởng," 1. Thết. Lễ thết khách trọng thể nhất gọi là hưởng 饗, thứ nữa gọi là yến 宴. <br>2. Tế hợp đồng, tế chung cả làm một gọi là hưởng. <br>3. Hưởng thụ, cùng nghĩa với chữ hưởng 享.<br>"
煎,"丷, 一, 月, 刂, 灬","Fry in fat or oil, boil in water, torment",jiān,"煎
├── 前
│   ├── 䒑
│   │   ├── 丷
│   │   └── 一
│   └── 刖
│       ├── 月
│       └── 刂
└── 灬",⿱⿱⿱丷一⿰月刂灬,① cut food 前 boiled or fried on fire 灬,,,,3111,tiên|tiễn," 1. Nấu, sắc, chất nước đem đun cho đặc gọi là tiên. <br>2. Một âm là tiễn. Ngâm, đem các thứ quả ngâm mật gọi là mật tiễn 蜜煎.<br>"
泾,"氵, ス, 工",Jing River,Jīng,"泾
├── 氵
└── 37030
    ├── 龴
    │   └── 厶
    └── 工",⿰氵⿱ス工,,,,,3112,kính," 1. Sông Kính, sông Kính đục, sông Vị trong, vì thế nên phân biệt thanh trọc gọi là kính vị 涇渭.<br>"
樵,"木, 隹, 灬","firewood, gather wood",qiáo,"樵
├── 木
└── 焦
    ├── 隹
    └── 灬",⿰木⿱隹灬,,,,,3113,tiều, 1. Củi. <br>2. Kiếm củi. Kẻ kiếm củi gọi là tiều phu 樵夫. <br>3. Ðốt cháy.<br>
瞄,"目, 艹, 田","to take aim, (fig.) to aim one's looks at, to glance at",miáo,"瞄
├── 目
└── 苗
    ├── 艹
    └── 田",⿰目⿱艹田,,,,,3114,miểu," 1. Ngắm, dùng mắt ngắm vào đích gọi là miệu chuẩn 瞄準.<br>"
酿,"酉, 丶, 艮","Brew, ferment",niàng,"酿
├── 酉
└── 良
    ├── 艮
    └── 丶",⿰酉⿱丶艮,① contents of a jar 酉 which aid 襄/㐮 a person's recovery ② ⓢ good 良 content of a jar 酉,,,,3115,nhưỡng," 1. Gây, cất. Như nhưỡng tửu 釀酒 gây rượu, cất rượu. <br>2. Gây lên. Như nhưỡng họa 釀禍 gây lên vạ. <br>3. Thái lẫn.<br>"
蝇,"虫, 口, 电","fly, musca, CL:隻|只[zhi1]",yíng,"蝇
├── 虫
└── 黾",⿰虫⿱口电,,,,,3116,dăng," 1. Con ruồi. <br>2. Thương dăng 蒼蠅 con nhặng. <br>2. Dùng để nói các cái nhỏ bé. Như dăng đầu tế tự 蠅頭細字 chữ nhỏ như đầu ruồi, nói chữ nhỏ lắm.<br>"
醋,"酉, 十, 丨, 一, 日","vinegar, jealousy (in love rivalry)",cù,"醋
├── 酉
└── 昔
    ├── 龷
    │   ├── 艹
    │   └── 一
    └── 日",⿰酉⿱⿱⿻十丨一日,,,,,3117,thố," 1. Giấm. <br>2. Tục gọi các sự ganh ghét là hữu thố ý 有醋意. Sách Tục Văn Hiến Thông Khảo nói con sư tử mỗi ngày ăn hết một bình giấm, nói ví như đàn bà ghen, vì thế đời sau mới gọi đàn bà ghen là sư tử.<br>"
喽,"口, 米, 女","subordinates in gang of bandits, (final particle equivalent to 了[le5]), (particle calling attention to, or mildly warning of, a situation)","lóu, lou","喽
├── 口
└── 娄
    ├── 米
    └── 女",⿰口⿱米女,,,,,3118,lâu, 1. Lâu la 嘍羅 quân thủ hạ của giặc cướp.<br>
癫,"疒, 十, 月, 一, 八, 页","mentally deranged, crazy",diān,"癫
├── 疒
└── 颠
    ├── 真
    │   ├── 十
    │   └── 具
    │       ├── 目
    │       └── 35189
    │           ├── 一
    │           └── 八
    └── 页",⿸疒⿰⿱十⿱⿴⿻月一一八页,,,,,3119,điên," 1. Ðiên, mừng giận bất thường điên đảo hỗn độn gọi là điên.<br>"
俞,"人, 一, 月, 刂","Consent, approve","shù, yú, Yú","俞
├── 亼
│   ├── 人
│   └── 一
└── 刖
    ├── 月
    └── 刂",⿱⿱人一⿰月刂,① rs. boat 舟 → 月 on water 巜 → 刂 with mouth 亼 speaking ② gathered 亼 people 月　with swords 刂: everybody consents,,,,3120,du," 1. Phải, vâng, lời, nói đáp lại. Như phụng chỉ vua đã ưng cho gọi là du duẫn 俞允. Tục viết là 兪.<br>"
羁,"罒, 革, 一","bridle, halter, to restrain, to detain, to lodge, inn, variant of 羈|羁[ji1]",jī,"羁
├── 罒
└── 37841
    ├── 革
    └── 马",⿱罒⿰革⿹&CDP-8A77;一,,,,,3121,ky," 1. Ràng giữ, buông thả. Duy trì để cho không đến nỗi tuyệt hẳn gọi là ky mi 羈縻. <br>2. Kiềm chế. Như bất ky 不羈 không kiềm chế được. <br>3. Cái dàm đầu ngựa. <br>4. Búi tóc. <br>5. Giắt.<br>"
梭,"木, 厶, 八, 夂","Weaver's shuttle, move to and fro",suō,"梭
├── 木
└── 夋
    ├── 厶
    └── 48145
        ├── 八
        └── 夂",⿰木⿳厶八夂,① wooden 木 implement from the weaver who walks with dignity 夋,,,,3122,toa|thoa," 1. Cái thoi dệt cửi, cái thoi nó đi lại rất nhanh, nên nói đến thì giờ nhanh chóng gọi là nhật nguyệt như toa 日月如梭 ngày tháng như thoi đưa. <br>2. Quan chức đi lại đốc suất binh phu gọi là toa tuần 梭巡. Ta quen đọc là chữ thoa.<br>"
潞,"氵, 口, 止, 夂","name of a river, surname Lu",Lù,"潞
├── 氵
└── 路
    ├── ⻊
    └── 各
        ├── 夂
        └── 口",⿰氵⿰⿱口止⿱夂口,,,,,3123,lộ, 1. Sông Lộ.<br>
逞,"辶, 口, 王","Indulge oneself, brag, show off, sturdy",chěng,"逞
├── 辶
└── 呈
    ├── 口
    └── 王",⿺辶⿱口王,① walk 辶 to the ruler 呈 and speak: show off with a sturdy impression,,,,3124,sính," 1. Sướng , thích ý. <br>2. Buông tuồng. Như sính nhan sắc 逞顏色 nét mặt buông tuồng ra vẻ làm bộ. Sính ác 逞惡 mặc sức làm ác.<br>"
酋,"丷, 酉","Chief of tribe, chieftain",qiú,"酋
├── 丷
└── 酉",⿱丷酉,① wine bottle 酉 with escaping vapor 丷: the chief of the tribe can drink the most,,,,3125,tù, 1. Một chức quan đầu coi về việc rượu. Vì thế nên người đứng đầu một đoàn thể gọi là tù trưởng 酋長. <br>2. Chọn. Như Kinh Thi 詩經 có câu tự tiên công tù hĩ 似先公酋矣 chọn làm nên được cái công của tiên quân. <br>3. Rượu ngấu. <br>4. Ông tướng.<br>
